	X7316.475	X7316.487	X7316.206	X7316.1851	X7316.121	X7316.362	X7316.2581	X7316.3555	X7316.2193	X7316.485	X7316.175	X7316.193	X7316.167	X7316.196	X7316.77	X7316.875	X7316.932	X7316.869	X7316.2667	X7316.84	X7316.20	X7316.495	X7316.2899	X7316.3575	X7316.127	X7316.884	X7316.134	X7316.119	X7316.2729	X7316.176	X7316.2900	X7316.217	X7316.2723	X7316.397	X7316.2669	X7316.117	X7316.934	X7316.470	X7316.400	X7316.393	X7316.938	X7316.3561	X7316.459	X7316.472	X7316.882	X7316.957	X7316.3055	X7316.954	X7316.207	X7316.499	X7316.2663	X7316.267	X7316.368	X7316.345	X7316.2195	X7316.148	X7316.891	X7316.370	X7316.173	X7316.2154	X7316.925	X7316.2755	X7316.3062	X7316.3556	X7316.154	X7316.880	X7316.3570	X7316.391	X7316.162	X7316.2174	X7316.449	X7316.2167	X7316.488	X7316.2184	X7316.350	X7316.944	X7316.3068	X7316.183	X7316.32	X7316.168	X7316.344	X7316.442	X7316.1760	X7316.936	X7316.2664	X7316.332	X7316.2172	X7316.1767	X7316.329	X7316.946	X7316.146	X7316.222	X7316.186
HALLMARK_TNFA_SIGNALING_VIA_NFKB	7.4343447814534676	7.164711198951006	5.000961531449185	3.212843005731081	5.256745590341827	12.18786204302219	1.332596287853125	4.915685560351476	6.742522879720238	8.922733134074095	9.794473499732199	3.7598514541697527	0.35641154006903086	2.3061764205780784	1.5327292969130009	3.9611305421498133	1.0320051422010148	5.962703377951827	6.266989337331175	3.0963095589747462	3.4545057363738287	5.199937635108022	0.1507887624599096	6.238140308572406	11.604716942806666	2.433110494787803	4.705228087001846	4.839227869823665	4.650516820967162	0.6908625304396468	1.6108934086756372	1.0886956081503425	2.5000792493632855	4.133175920928659	7.453019110381034	3.040105621094921	6.19791939994539	3.6098045268316032	4.8479673929029135	5.132229409636527	1.9156407221964906	2.1745661282543676	5.123726984536472	6.994400799300365	5.557052761221051	4.312926286556532	3.6924262120367057	6.144194486920107	7.4710052643545755	3.0911376742377157	6.184132718617167	8.400633461043414	9.462044093984147	6.3048944594974135	2.7896290000911828	2.433338923139327	4.695005781798061	1.034607746988911	9.420731418977045	2.202955412959805	3.6213979898180013	4.6004144537310205	9.110246873101602	0.5350258442673765	15.469802834962573	1.6442143846649313	4.774882995231523	5.169016089399925	2.265371969918753	0.5744642224164882	4.287681615223089	2.418844147014619	12.483755715758772	7.96230494080211	1.158242504128898	13.99972124536803	7.409798118774928	0.32226518300313745	4.789797250683908	10.261943775374172	7.976381854773677	2.477028983247177	3.1287634316424304	1.7854101007272907	4.966511133514721	6.28343905784573	3.979641515864319	7.650400200367506	10.01289248644859	3.3662462395135537	9.229852678654279	1.9459292179575582	5.790227751314532
HALLMARK_HYPOXIA	1.5103110705117126	1.4653333716041153	1.9141763684735136	3.9359382552987507	0.8591279386430641	2.2329038278417617	0.39796953482389436	0.254413501554178	1.9919296506527604	7.314420088517126	3.0292293234059655	0.4220686087254781	0.7757667365092346	2.710656338930003	1.1558002192462846	7.578662353582615	1.1819197232689618	3.7993876666254005	0.9538268543743836	4.086521505452637	1.1356192557911375	1.1153169069751432	1.5868058741082018	6.7502916291450825	5.227379070049972	2.1475982188142386	0.9988920637062195	0.7711050895727998	1.4371088754401913	1.3468072561182796	9.51030126413037	2.9643354592387943	4.601597887436604	7.098648870388138	1.856550851816854	2.2038885262971672	0.47586662818691494	4.993499985599955	0.306254228970663	2.677835510454137	0.8356927739684205	7.402301746415752	7.696622516615122	2.2839629355383493	0.6940522856685685	3.1953552220093067	1.1289240272644596	3.843343566378386	0.2189018955878496	3.0222127782891333	1.1918246371617345	2.5050959532598225	0.38814676520784464	0.3188259238021676	4.04564563273442	6.700832699121425	1.5283613061830652	1.7098017913327044	2.883791621887222	11.268777703234791	5.338460764427934	1.5035868762744224	2.6324872711849325	1.3053250434684067	10.780761834880808	2.059362487450797	2.505393194226635	2.950277609549322	2.9384306953746737	2.5540161710796596	3.841323031281588	9.501425755755886	3.0027659826268636	0.44410345164426535	5.090105669639095	0.34998836521015225	1.6442402426152205	0.4939804973545538	3.46840842299684	3.977998522929806	1.1924364084034855	0.6655234342820014	1.9819326515968503	2.4525503181744526	1.4657618079589698	0.5233909980128438	8.463963171538401	2.091495032236833	1.2036152990476752	2.1508199120722904	3.5590169300069197	1.517227975703244	1.5430306462942647
HALLMARK_CHOLESTEROL_HOMEOSTASIS	3.160382378174626	4.146988001522878	0.8143671695182051	14.862714551570264	4.783034269299749	2.8592215038417197	1.5770527724151981	5.9283554446868605	2.95874016183225	1.8898462654234855	10.778499306799917	0.5696016608407334	9.977233670088589	0.7862217880444521	3.858372821985117	1.4389875689397749	7.263491956068382	1.618720309217474	7.347323206973128	1.3785845810500845	2.5161901043864323	2.67879955309265	0.1913620136189952	2.0245235400673485	0.7960168305726153	1.1828625446032293	2.589362533880673	2.4015658041384444	1.492518517842018	0.3658153548305144	5.336690258136731	1.3725811224753584	2.9873453052384393	3.3382446144690654	3.342815461610252	3.682310233920106	0.9715066979611551	3.407580128740464	1.836767112309255	1.8948922173099478	2.117582179390591	2.26816719281497	2.645022488056704	1.6815491868933972	7.624355772352877	1.9337672124113792	2.27013655125814	0.6052801237256387	1.1213117481935344	1.2078292307520455	0.793229681149982	3.6895517941451392	1.5312480777017323	4.398125664847434	2.468068042552273	2.870839900696946	1.3864453536433694	2.5843179639561544	2.591002005906785	0.39885487037800293	1.3464088195005801	5.135736364450144	3.9469046153224605	0.7873171172866188	2.7325038594525877	12.07396903917795	1.7744527852508964	2.1964480919756766	2.7684422514340956	2.7555492861874193	3.946488326126034	5.231525574310389	1.5386711548055354	8.385360327182385	3.552883313326827	2.737993907541391	1.5052731954876546	0.9085806948058334	10.751932591719518	4.832211259105104	4.405865353426181	3.5017291236425927	8.675414007884752	4.209723618429402	0.31124888404685436	2.4071101254507195	1.0558814518431645	3.1901739981871686	8.264563940461006	2.511928977397413	0.8187235776568186	0.8580426467230036	2.5977395104032266
HALLMARK_MITOTIC_SPINDLE	3.939476271730395	0.9365694143159906	6.445666353640884	3.4309628859116925	4.287227106529188	6.303127060461042	2.9820387856306074	2.0846501599950122	1.155107791904637	5.588484452761088	7.15228886810381	7.30160358220616	6.681976151878518	9.726704954410192	0.8222374712038312	16.07934835865951	7.890851634463166	3.0349319883889168	1.0692211524282704	9.455648806746213	1.3375163474860212	3.255992033018008	2.8968618830189734	2.4176498416675907	3.4375988294522384	3.1116525580915626	6.517212915004941	6.76126389758408	1.624689260037544	6.8515155471071045	1.7735393194494948	8.411731476160503	8.928241071428511	9.86134855382475	4.103502998674203	2.4026630923114967	1.9180193062071385	7.9154936187095215	4.257680436183609	0.9357515364501668	3.632373531997899	9.241648851720516	6.704861601189814	4.806355820471976	10.985677219490093	3.3547051463025084	1.6389226459736346	5.269192447111967	4.8985846605926735	6.059502901452306	5.99079617656159	1.7997663097630014	2.618916342482811	1.3255546022115459	11.444127602516959	2.988736304108499	2.5732375429752032	5.240131869397539	11.171116152640154	4.332571071112162	11.410856669035939	2.49989131016818	2.961844670718192	4.535721071900036	7.498483069480761	15.875569068327597	9.16238193301313	4.339759247316317	5.465460083493703	6.701559088019685	9.743155065561968	3.9785559160346957	2.9950252418767995	4.471815472151253	2.1189521428429123	11.363389909981045	2.4950648457951914	17.43659669809954	8.056858554793282	8.135945425818539	1.9537832898777023	4.005724020779936	4.5285626559555014	2.0656807038576526	2.042428734251174	2.537002648655896	1.4171918655508011	2.2768411664404566	1.8136009929042052	4.086227882999085	13.778398861399465	1.483861869033631	8.598768965780266
HALLMARK_WNT_BETA_CATENIN_SIGNALING	1.527453582200576	0.7690835288470063	1.223925911847236	1.2732845680549556	1.285975080569599	0.629085305447954	0.9178251574940273	0.8163500660182383	1.6956148270847877	1.725236128918559	2.30454625894061	2.5638791196902395	1.8354815901140906	0.9401370658250691	0.635839514662564	0.903587182057676	0.6840346945349315	0.5360594960308526	0.9309382068875193	1.275863885820173	1.3428848864481682	1.3781407855503065	1.5191530773067565	0.8732810065755399	1.0402822636754705	0.21948197134988373	1.8406006045441314	1.126717342848639	0.7443176511688192	0.6299661448293828	0.7235470061250885	1.1921450747947884	0.6284225056846902	0.6970177162849227	0.7854029542229778	1.9759584101105607	0.9644497652673419	1.2524048800694745	0.7505953032777118	1.0130073160520154	0.7873965193965701	0.7042464748029523	0.9492338842549718	1.7336090081610807	2.0178076666814326	1.249850197444962	1.0752914332251666	1.5701696677971781	1.7192474313438035	0.3466121667280395	1.3888177800570396	0.9357508942186348	0.5018798540423753	1.201118122857717	0.6802604981825127	0.6665536323321192	1.6897549864756929	0.40272293149372446	2.116611310435902	0.3400015459510563	0.8277252100492167	1.2067890970598107	0.8916614806188352	1.3841549401835385	0.9380359902343592	0.7711388568860914	1.1964472341137744	0.6683586047979162	0.5033328027934326	1.4463480896990235	2.697301755623823	0.9020364508108185	2.1268876327416457	1.442217437625655	0.5180181483129633	0.9707234087416026	1.1998589307154655	0.686639828702979	0.8356543926054869	1.5079012877091131	1.7190670324871933	1.0565591671249426	0.24833428375804242	0.7463147205731532	0.6321580755415229	1.3990269022486577	0.7956922605643746	0.7562199200539602	0.5625167029392711	1.496092271920472	1.5753288887925145	0.4333473653006496	2.6658437842918086
HALLMARK_TGF_BETA_SIGNALING	2.4877460080034415	1.1949545598232512	2.3482561875566064	2.350607744691184	1.9373936283119082	2.3146094898808793	2.356704486466549	1.1874494787312342	2.243903145523772	3.1518845695242255	2.1163998673020195	0.535612332201884	0.6388744144118008	0.3278879030841488	0.9404298727586698	1.787840847781728	0.9942222531052274	2.8678027965327724	1.6127043324919739	1.8011676123925657	1.5697032108555464	1.4629590636475942	0.9757079692026491	2.858393644383094	1.6185006487109816	2.0007103789603793	2.3940209548408475	2.018319252454204	3.7524239732601274	0.5198051533331407	2.809173108172453	0.1657311465184468	0.7055863125342834	0.6020248952121542	2.410055856241765	2.52492371421927	6.562569070688578	1.6823863913464085	2.8265413706205207	1.0289073073001416	1.9714275465886564	1.2542853804128609	2.8525277231816153	3.040843385365404	2.798657680369069	1.5242258566790985	2.6075867858104247	2.486333400171312	2.144959937970098	3.639761142302763	3.183207644651854	0.775358587066993	2.494402616778419	2.7076055300590336	0.4773554344046066	0.967310926203806	2.182810355708725	0.3633505678380445	2.691742680605527	2.0381694567559427	2.975184328473631	3.5760127220866713	2.545898970567505	0.18083964653875986	3.188935888309172	2.9490783193498165	0.5279402117734983	1.5360794068757713	2.219305005618432	0.5220879875524753	3.429658679926605	1.251712661118445	4.893183211089089	1.720024181725152	2.103318767298916	4.102968495053093	3.0639681804738625	0.11987383378240198	1.9986596329287754	2.663217928522757	2.9408521502510303	2.24534241541084	1.2215673252523158	1.0668450359015156	2.056574372856672	2.9044238438806933	3.1062736181067834	1.8862370931492622	1.5575309740088774	2.493935737759821	3.9352367124671197	1.3975059908414897	2.0349384416093104
HALLMARK_IL6_JAK_STAT3_SIGNALING	2.3795859212055155	3.665603307416279	4.028842883710728	3.950410911811708	3.4099461499976402	9.57382000039797	1.697679097051126	4.621755510088422	3.0193153030154907	5.050925190248802	3.996601894905443	1.5001347203433877	2.6913660074088583	1.281020501319705	1.1962790428383558	2.2264156671745936	1.9888179009202294	5.992895313287386	1.003304406364399	4.806439042973187	2.153541093261433	5.084288267885276	0.36451186213723735	3.093612201569359	7.304865770599351	3.3391519625549093	5.299546944949031	4.1525949654791265	5.736904158991174	2.2591244467037273	3.9746530308042765	0.5563268974916389	3.951915164510982	4.0169849636832415	4.608148063871565	4.3226604763124845	3.9224326493947372	1.7343378260643576	2.9564161434131506	3.1996085762031865	1.599526931050129	1.999758901092863	3.2941778891147315	5.370696096980455	4.655774203131542	6.904033405945657	4.842827135602461	1.5403325731230906	3.6666044778693427	3.5435430446540135	1.2963184681861966	1.9505808088776335	6.936379403520025	4.200558325167337	1.5878681827862984	1.5658860144062536	4.275902277180998	4.042776808338359	4.432541287955671	2.8680443326833056	3.747431468851972	5.090219267287718	2.8090657562777723	1.1461327108888202	6.026998743000612	4.656549870559931	1.7633758951245395	2.6211666423594266	2.2722729186273454	0.7605625428230717	2.9079532758214772	2.188342790563699	5.303075396304982	3.0951460566108238	4.049416191385699	7.262705057533278	3.797568107798714	0.09261107757324273	6.65494972691625	5.38808012502413	5.271924162810241	2.3012154665474123	0.9513953131114813	6.464437065763573	3.0315815764694434	1.9844644672734646	2.9834323838792742	0.7236397220179691	5.950751818278736	4.933729811889408	5.411980450892858	1.8141134221648914	4.994566944909661
HALLMARK_DNA_REPAIR	0.29742769948097963	0.44441385226963726	0.15056990144896873	0.17413657149896258	0.2010764048339196	0.3069724266040724	3.0776261175058885	0.13409089276947855	0.5813203747192884	0.17019874931888043	0.09833712297810232	0.050258415490046386	0.6030601352573696	0.16997456643494835	0.6664790363353539	0.05225324243779288	0.5064812299115474	0.09415903171349405	0.38067528887865054	0.08009951044741005	0.2821875658415341	0.09241641892908603	5.743915697371228	0.3958954158273655	0.26593180131026056	3.9455467073041754	0.1433904457653319	0.2562783046963496	0.248974591021156	4.209032842730039	0.8199326018610305	0.07058688679161351	0.056286076464037715	0.04355559545822818	0.27322423806260066	0.5603736951576651	1.3632601553728174	0.8103793319192019	0.4316073541708618	0.21435454721284342	0.23914830573084958	0.061926580684324696	0.1765749250952214	0.13968997358660623	0.12454900786750495	0.14169121433292717	3.1500797670873744	0.47280423057873633	0.05207321086784489	0.7828066136584193	0.08148617425785819	0.17083358141444474	0.5252243004967645	0.7043123811385096	0.15025632009417042	0.27930063113847264	0.1655802045216928	0.05234367610938841	0.9224483800235628	2.7300345087254816	0.022914067459267988	0.10301667877751008	0.5685158653163479	1.3981389379602214	0.32443559524193294	0.2956455406854379	0.06575988231616875	0.5299255623268772	0.09204086749902406	0.2049894257438963	0.09076751624837176	0.918276790583704	0.2348971305716423	0.18764874912402488	4.766414781721703	0.7597578432340536	0.8754437250602992	2.8970646142558816	0.07634428518233684	0.15663927729540528	0.20453984917719878	0.23042584835615101	4.711520302865375	3.3290921657611374	1.0506197669628066	0.2583265278430439	0.21026330033812002	1.2887012034958112	0.09490582725917106	0.1448139515211915	0.6954497073323753	0.27153236247173235	0.6780157457659742
HALLMARK_G2M_CHECKPOINT	0.28940096470130094	1.7401418830945146	0.08695518305807858	0.2671394456099621	0.11333158175337177	0.02884621339740081	0.41658501204534376	0.08813288129975594	0.06873522753110993	0.06914997357308568	0.005941349858621246	0.01571163749439843	0.06822658492187017	0.014870987318409737	0.657283836589498	0.03176726199676125	0.09970932360808053	0.01913418557027096	2.0986129847428825	0.011597460569176208	0.4501899810924823	0.04603037333213236	1.0564171275404821	0.052692487460880996	0.17988086759003627	0.7987414655714644	0.13764632985382003	0.048385054583530374	0.12834798659493013	0.32628780190080975	0.1641590745227418	0.009746279414398358	0.004054734310427518	0.009305772773456858	0.24217309143374635	0.4300042436486917	0.3351161403870995	0.009561521880416915	0.261295132301493	0.08808786344051625	0.1280222260854096	0.06121344735789007	0.06584022889483487	0.10209405701215715	0.01314264774752089	0.15327250638728412	0.5626108571994412	0.5808257110832674	0.024108238500879085	0.050752404966158314	0.17375335312818357	0.11902408055115163	0.6054341706912741	0.2844389619535363	0.02808441408341917	0.028174706996207097	0.07652672105345046	0.009602042162886433	0.05331352743722866	0.19340032188309006	0.013790047986888324	0.12124370271685304	0.6061920306124409	0.034536493129971486	0.09979629014907086	0.6440614703464367	0.012453405965605447	0.48991637089841655	0.017479642164832554	0.06490519498912069	0.035912931734417175	0.016639562767546245	0.16037058054115177	0.15609668104473734	0.9410957085765115	0.2633659452633319	0.44709602376498464	0.1818908356653389	0.040609154049307095	0.07660782096216168	0.0676239690719143	0.09100249156621255	0.4260250806301806	0.1355290525143219	0.0916805569155114	0.9337402994739141	0.1286471625432288	0.7819626814288387	0.01234021096505936	0.03537570099731115	0.7696945031790859	0.2342399800979813	0.08320560547169668
HALLMARK_APOPTOSIS	1.2790720677117264	5.153978094756767	1.402723686757423	0.9145334133017212	0.5909610700769358	5.392045734276102	1.2614674764737852	0.5203492572334806	3.5334072810929857	4.307465840872395	3.7956280216307827	0.43121663527739446	0.8645100682609563	1.8023204183675676	0.07287585406530153	0.9989858709587044	1.762638648874958	1.6838038686935457	0.01963142605271859	0.9043177950793677	0.20829668586646463	0.749473045883009	5.9791222457757645	8.805814084102396	2.2113475168470136	7.403562231839878	1.197444165453139	1.0428535953144793	2.2549650121195564	0.15143453748953908	2.483622245639642	0.296954812728152	2.2049277470237723	2.6463532027057606	0.22528227386059246	0.40104827869761983	2.3353883329582725	3.153513690161304	0.739349946515836	1.749495753998311	0.3759252072002706	0.33554801990629474	2.2757910713275575	0.6326995235712195	1.8034060785321888	2.0289484515855527	2.212675214519497	2.0035612359919566	1.6840538464734294	5.239297203537554	0.7874624233524545	0.8541503069574192	2.1479621446735693	0.2954562834527411	0.2038705319372973	0.5488895572039321	0.9670776367453205	0.8260307693750732	9.098117022101636	11.103364605419973	2.0753981317367156	0.8421064473853307	1.3279211730659377	0.31104851706017533	10.049886427254028	0.9397096275612246	1.4819381456437504	0.5129447018653758	1.5127483919431974	0.548861653596769	1.8036308377745516	1.7308152296061998	5.369104296469522	1.2364616636531094	8.758867336993124	1.4323579691969062	6.633589681771204	0.4345717370140775	3.638071957570596	1.0556063686310566	0.9634473730653526	0.6350935348795391	0.980136509191619	2.227089811908391	11.681809610273369	0.07157560658105361	1.712956887263933	1.0463194763189159	3.913936137677656	0.4236563106947606	2.7544435834435417	0.4246924574763105	2.65858950582421
